movieId,name,role,gender,,
559,Richard Lewis,Peter,2,,
560,Steven Weber,Marc Nussbaum,2,,
561,Kim Adams,Sheila,1,,
562,Emily Procter,Debbie,1,,
563,Stuart Reynolds ,Man At Bar,2,,
564,Valeria Golino,Terri,1,,
565,Graham Beckel,L.A. Bartender,2,,
566,Albert Henderson,Man at Strip Bar,2,,
567,Shashi Bhatia,Hispanic Prostitute,1,,
568,Carey Lowell,Bank Teller,1,,
569,Anne Lange,Business Colleague,0,,
570,Thomas Kopache,Mr. Simpson,2,,
571,Vincent Ward,Businessman 1,0,,
572,Lucinda Jenney,Weird Woman,1,,
573,French Stewart,Businessman 2,2,,
574,Ed Lauter,Mobster 3,2,,
575,Waldemar Kalinowski,Mobster 2,2,,
576,Mike Figgis,Mobster 1,2,,
577,David Kriegel,Hotel Manager,2,,
578,Bill Thompson,Midwest Man At Poolside,2,,
579,Marek Stabrowski,Pawn Shop Owner,0,,
580,R. Lee Ermey,Conventioneer,2,,
581,Mariska Hargitay,Hooker At Bar,1,,
582,Danny Huston,Barman 2,2,,
583,Laurie Metcalf,Landlady,1,,
584,David Brisbin,Landlord,0,,
585,Shawnee Smith,Biker Girl,1,,
586,Paul Quinn,Biker Guy,2,,
587,Julian Lennon,Bartender 3 In Biker Bar,2,,
588,Tracy Thorne,Waitress At Mall,0,,
589,Bob Rafelson,Man At Mall,2,,
590,Susan Barnes,Desk Clerk,1,,
591,Marc Coppola,Dealer,2,,
592,Michael A. Goorjian,College Boy 1,2,,
593,Jeremy Jordan,College Boy 2,0,,
594,Davidlee Willson,College Boy 3,0,,
595,Xander Berkeley,Cynical Cabbie,2,,
596,Sergio Premoli,Stetson Man At Casino,0,,
597,Gordon Michaels,Security Guard,2,,
598,Lou Rawls,Concerned Cabbie,2,,
599,Laurence Fishburne,Othello,2,,
600,Irène Jacob,Desdemona,1,,
601,Kenneth Branagh,Iago,2,,
602,Nathaniel Parker,Cassio,2,,
603,Michael Maloney,Roderigo,2,,
604,Anna Patrick,Emilia,1,,
605,Nicholas Farrell,Montano,2,,
606,Indra Ové,Bianca,1,,
607,Michael Sheen,Lodovico,2,,
608,Christina Ricci,Young Roberta Martin,1,,
